Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT2G24420,,7.40,UP,5.82,0.2217,ATPase-related DNA repair protein
AT2G24490,ATRPA32A,2.64,UP,6.11,0.3262,replicon protein A2
AT2G24500,FZF,2.01,UP,9.54,0.3057,Zinc finger protein 622
AT2G24540,AFR,12.73,DOWN,7.85,0.3790,F-box protein AFR
AT2G24550,,1.05,DOWN,39.65,1,uncharacterized protein
AT2G24580,,1.30,DOWN,15.90,0.6585,putative sarcosine oxidase
AT2G24590,RSZ22a,1.79,DOWN,27.83,0.1534,RNA recognition motif and CCHC-type zinc finger domain-containing protein
AT2G24762,AtGDU4,1.88,DOWN,14.04,0.5507,glutamine dumper 4
AT2G24765,ARF3,2.35,DOWN,22.94,0.1326,ADP-ribosylation factor 3
AT2G24790,ATCOL3,2.09,DOWN,84.45,0.0009,zinc finger protein CONSTANS-LIKE 3
AT2G24820,TIC55-II,1.13,UP,24.87,0.9342,translocon at the inner envelope membrane of chloroplasts 55-II
AT2G24860,,1.29,UP,10.23,0.9664,DnaJ/Hsp40 cysteine-rich domain-containing protein
AT2G24940,AtMAPR2,1.78,DOWN,21.25,0.5988,putative steroid-binding protein 3
AT2G24980,,2.08,DOWN,13.63,0.0494,Proline-rich extensin-like family protein
AT2G25060,ENODL14,1.18,DOWN,28.75,0.9959,early nodulin-like protein 1
AT2G25070,,1.76,DOWN,7.96,0.5468,protein phosphatase
AT2G25080,ATGPX1,1.28,DOWN,114.76,0.2704,phospholipid hydroperoxide glutathione peroxidase 1
AT2G25110,SDF2,1.74,DOWN,10.71,0.2697,stromal cell-derived factor 2-like protein
AT2G25180,ARR12,1.31,DOWN,7.21,0.8267,response regulator 12
AT2G25210,,2.80,DOWN,377.37,0.0009,60S ribosomal protein L39-1
AT2G25310,,3.50,DOWN,12.98,0.1271,uncharacterized protein
AT2G25430,,1.92,DOWN,38.84,0.0025,putative clathrin assembly protein
AT2G25490,EBF1,2.11,DOWN,24.65,0.0009,EIN3-binding F-box protein 1
AT2G25510,,8.26,UP,208.92,0.0009,uncharacterized protein
AT2G25520,,2.06,DOWN,44.40,0.0057,putative phosphate/phosphoenolpyruvate translocator protein
AT2G25605,,2.55,DOWN,14.70,0.2331,uncharacterized protein
AT2G25610,,1.04,DOWN,9.85,1,V-type H+-transporting ATPase 21kDa proteolipid subunit
AT2G25650,,5.52,UP,14.77,0.0469,DNA-binding storekeeper protein-related transcriptional regulator
AT2G25670,,2.06,UP,18.30,0.0297,uncharacterized protein
AT2G25720,,4.26,DOWN,18.09,0.4229,uncharacterized protein
AT2G25760,,7.40,UP,7.15,0.0440,casein kinase I-like protein
AT2G25830,,1.46,DOWN,14.48,0.6033,YebC-related protein
AT2G25870,,1.03,UP,11.39,1,haloacid dehalogenase-like hydrolase domain-containing protein
AT2G25900,ATCTH,1.01,DOWN,17.92,1,zinc finger CCCH domain-containing protein 23
AT2G25910,,1.93,UP,11.45,0.2677,3'-5' exonuclease and KH-I domain-containing protein
AT2G25950,,1.10,UP,7.98,1,uncharacterized protein
AT2G25970,,1.14,DOWN,14.65,0.8533,upstream element-binding protein
AT2G26010,PDF1.3,1.36,UP,18.68,1,defensin-like protein 14
AT2G26060,emb1345,1.05,DOWN,8.78,1,transducin/WD-40 repeat-containing protein
AT2G26080,AtGLDP2,1.40,UP,64.53,0.0009,glycine dehydrogenase
AT2G26140,ftsh4,1.56,UP,13.20,0.1768,cell division protease ftsH-4
AT2G26210,,1.16,UP,15.92,1,Ankyrin repeat family protein
AT2G26240,,1.98,UP,10.90,0.6151,Transmembrane proteins 14C
AT2G26280,,1.54,UP,8.65,0.3768,CTC-interacting domain 7 protein
AT2G26300,GPA1,2.03,UP,9.00,0.2249,guanine nucleotide-binding protein alpha-1 subunit
AT2G26330,ER,2.07,UP,6.42,0.1441,LRR receptor-like serine/threonine-protein kinase ERECTA
AT2G26340,,6297.16,DOWN,20.64,0.4437,uncharacterized protein
AT2G26500,,2.11,DOWN,908.55,0.0009,putative cytochrome b6f complex subunit
AT2G26510,PDE135,1.60,DOWN,6.15,0.4738,nucleobase-ascorbate transporter 3
AT2G26550,HO2,2.63,UP,7.18,0.1920,heme oxygenase 2
AT2G26570,WEB1,6.76,UP,7.14,0.0677,uncharacterized protein
AT2G26580,YAB5,2.26,UP,11.19,0.2852,axial regulator YABBY 5
AT2G26670,GUN2,1.49,DOWN,29.18,0.3433,heme oxygenase 1
AT2G26690,,1.53,DOWN,28.77,0.1273,nitrate transporter 1.4
AT2G26730,,2.02,DOWN,7.67,0.2189,putative inactive receptor kinase
AT2G26740,ATSEH,1.56,UP,10.69,0.5535,soluble epoxide hydrolase
AT2G26890,GRV2,3.49,UP,4.44,0.0017,DNAJ heat shock N-terminal domain-containing protein
AT2G26900,,1.23,DOWN,35.76,0.5915,Sodium bile acid symporter-like protein
AT2G26910,PDR4,1.78,UP,12.75,0.0194,ABC transporter G family member 32
AT2G26975,,1.67,DOWN,19.73,0.4994,Ctr copper transporter family
AT2G26980,CIPK3,2.07,UP,13.41,0.0743,CBL-interacting serine/threonine-protein kinase 3
AT2G27020,PAG1,1.67,UP,37.12,0.1372,proteasome subunit alpha type-3
AT2G27030,CAM5,1.62,DOWN,78.53,0.1381,calmodulin 5
AT2G27050,EIL1,1.67,UP,22.50,0.0769,ethylene insensitive 3-like 1 protein
AT2G27100,SE,1.21,UP,8.44,0.8267,serrate RNA effector molecule
AT2G27130,,9.28,DOWN,6.44,0.5610,xylogen-like protein 11
AT2G27190,PAP12,1.04,DOWN,8.26,1,Fe(3+)-Zn(2+) purple acid phosphatase 12
AT2G27260,,4.26,DOWN,9.93,0.1380,late embryogenesis abundant hydroxyproline-rich glycoprotein
AT2G27290,,1.18,UP,38.11,0.9473,uncharacterized protein
AT2G27330,,2.16,DOWN,16.52,0.4449,RNA recognition motif-containing protein
AT2G27385,,1.61,DOWN,153.12,0.0243,Pollen Ole e 1 allergen and extensin family protein
AT2G27400,TAS1A,1.68,DOWN,5.53,0.9651,TAS1Aother RNA
AT2G27402,,1.59,DOWN,73.55,0.1432,uncharacterized protein
AT2G27470,NF-YB11,2.65,UP,12.79,0.3057,nuclear factor Y; subunit B11
AT2G27500,,1.87,UP,8.38,0.3767,glucan endo-1;3-beta-glucosidase 14
AT2G27510,ATFD3,2.08,DOWN,54.49,0.0360,ferredoxin 3
AT2G27580,,4.19,DOWN,7.91,0.2227,zinc finger A20 and AN1 domain-containing stress-associated protein 3
AT2G27600,ATSKD1,1.09,DOWN,18.73,1,vacuolar protein-sorting-associated protein 4
AT2G27680,,1.17,UP,44.81,0.7151,NAD(P)-linked oxidoreductase-like protein
AT2G27710,,2.21,DOWN,162.36,0.0009,60S acidic ribosomal protein P2-2
AT2G27720,,2.16,DOWN,216.50,0.0009,60S acidic ribosomal protein P2-1
AT2G27730,,2.34,DOWN,60.02,0.0240,copper ion binding protein
AT2G27775,,1.56,DOWN,11.67,0.8772,uncharacterized protein
AT2G27810,ATNAT12,1.44,DOWN,5.62,0.6100,nucleobase-ascorbate transporter 12
AT2G27820,PD1,3.85,DOWN,19.79,0.0393,arogenate dehydratase 3
AT2G27830,,1.27,UP,13.21,0.8927,uncharacterized protein
AT2G27840,HDA13,1.11,UP,8.67,1,histone deacetylase HDT4
AT2G27860,AXS1,1.43,DOWN,55.18,0.1213,UDP-D-apiose/UDP-D-xylose synthase 1
AT2G27960,CKS1,5.14,DOWN,21.44,0.3909,cyclin-dependent kinases regulatory subunit 1
AT2G28000,CH-CPN60A,1.15,UP,93.04,0.4117,chaperonin-60alpha
AT2G28190,CSD2,1.17,DOWN,285.92,0.1795,Superoxide dismutase
AT2G28200,,1.28,DOWN,9.83,1,C2H2-type zinc finger domain-containing protein
AT2G28305,LOG1,1.31,DOWN,9.26,1,cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG1
AT2G28310,,1.87,UP,10.42,0.3508,uncharacterized protein
AT2G28370,,4.57,DOWN,25.18,0.0382,uncharacterized protein
AT2G28380,DRB2,1.26,DOWN,7.71,0.8295,dsRNA-binding protein 2
AT2G28390,,3.25,UP,3.96,0.1628,SAND family protein
AT2G28410,,2.96,DOWN,7.48,0.5540,uncharacterized protein
AT2G28430,,1.11,DOWN,47.26,1,uncharacterized protein
AT2G28470,BGAL8,3.15,UP,11.84,0.0017,beta-galactosidase 8
AT2G28550,TOE1,1.24,DOWN,24.12,0.6417,ethylene-responsive transcription factor RAP2-7
AT2G28600,,3.67,UP,7.21,0.1788,P-loop containing nucleoside triphosphate hydrolase-like protein
AT2G28605,,5.65,DOWN,16.62,0.0985,PsbP domain-containing protein 2
AT2G28670,,3.04,DOWN,12.07,0.0187,Disease resistance-responsive (dirigent-like protein) family protein
AT2G28720,,6.37,UP,12.24,0.3711,histone H2B
AT2G28740,HIS4,3.48,DOWN,52.33,0.1378,histone H4
AT2G28790,,1.25,UP,15.73,0.8067,pathogenesis-related thaumatin-like protein
AT2G28800,ALB3,1.54,UP,49.39,0.0391,inner membrane protein ALBINO3
AT2G28840,XBAT31,1.66,DOWN,52.34,0.0038,putative E3 ubiquitin-protein ligase XBAT31
AT2G28900,OEP16,1.94,UP,42.23,0.0724,outer plastid envelope protein 16-1
AT2G28910,CXIP4,1.48,UP,153.42,0.0009,CAX-interacting protein 4
AT2G28950,ATEXPA6,1.80,DOWN,27.66,0.1158,expansin A6
AT2G29020,,1.54,DOWN,31.27,0.4886,Rab5-interacting-like protein
AT2G29080,ftsh3,1.24,UP,7.61,0.7560,cell division protease ftsH-3
AT2G29180,,3.03,DOWN,52.85,0.0045,uncharacterized protein
AT2G29210,,11.39,UP,3.68,0.3264,serine/arginine repetitive matrix protein 1
AT2G29280,,9.32,DOWN,4.36,0.7633,pseudogene
AT2G29290,,2.19,UP,28.22,0.0434,tropine dehydrogenase
AT2G29310,,1.12,UP,19.18,1,tropine dehydrogenase
AT2G29340,,1.01,UP,43.58,1,tropine dehydrogenase
AT2G29360,,11.58,UP,13.42,0.3239,tropine dehydrogenase
AT2G29390,SMO2-2,1.56,UP,7.45,0.7177,sterol 4-alpha-methyl-oxidase 2-2
AT2G29400,TOPP1,1.10,DOWN,12.64,1,serine/threonine-protein phosphatase PP1 isozyme 1
AT2G29420,GSTU7,1.03,DOWN,49.59,1,glutathione S-transferase tau 7
AT2G29450,ATGSTU5,1.26,UP,20.22,0.8756,glutathione S-transferase 103-1A
AT2G29490,ATGSTU1,1.24,DOWN,8.44,1,glutathione S-transferase
AT2G29530,TIM10,1.15,DOWN,38.76,1,mitochondrial import inner membrane translocase subunit Tim10
AT2G29540,ATRPAC14,2.96,DOWN,7.72,0.6526,DNA-directed RNA polymerase III subunit C19
AT2G29550,TUB7,1.14,DOWN,25.10,0.8439,tubulin beta
AT2G29630,THIC,1.82,UP,38.71,0.0045,thiamine biosynthesis protein ThiC
AT2G29650,ANTR1,1.91,DOWN,10.98,0.5927,sodium-dependent phosphate transport protein 1
AT2G29670,,3.07,UP,10.37,0.0810,tetratricopeptide repeat-containing protein
AT2G29700,ATPH1,1.08,DOWN,75.65,1,Pleckstrin homology domain-containing protein 1
AT2G29960,ATCYP5,1.59,DOWN,35.53,0.2989,Peptidyl-prolyl cis-trans isomerase CYP19-4
AT2G29980,FAD3,1.08,UP,26.05,1,omega-3 fatty acid desaturase; endoplasmic reticulum
AT2G29995,,1.10,UP,22.17,1,Tyrosine-sulfated glycopeptide 3
AT2G30010,TBL45,1.47,DOWN,18.66,0.3767,trichome birefringence-like 45 protein
AT2G30050,,1.59,DOWN,14.64,0.3598,protein transport protein SEC13
AT2G30060,,1.54,UP,21.74,0.3600,Ran-binding protein 1-b
AT2G30110,ATUBA1,1.27,UP,22.29,0.3135,ubiquitin-activating enzyme E1 1
AT2G30150,,1.93,DOWN,10.23,0.3714,UDP-glucoronosyl/UDP-glucosyl transferase family protein
AT2G30170,,3.04,UP,8.97,0.2365,putative protein phosphatase 2C 26
AT2G30200,,2.17,UP,15.80,0.0771,.
AT2G30230,,3.01,DOWN,16.26,0.3549,uncharacterized protein
AT2G30260,U2B'',1.34,UP,7.54,0.9754,U2 small nuclear ribonucleoprotein B''
AT2G30330,BLOS1,2.12,DOWN,12.93,0.3711,biogenesis of lysosome-related organelles complex 1 subunit 1
AT2G30362,,1.15,UP,12.14,1,other RNA
AT2G30390,FC-II,1.26,UP,19.14,0.6001,ferrochelatase 2
AT2G30410,KIS,2.08,DOWN,23.60,0.2436,tubulin-specific chaperone A
AT2G30424,TCL2,4.20,DOWN,16.43,0.6257,protein trichomeless 2
AT2G30440,TPP,1.23,DOWN,18.80,0.7075,thylakoidal processing peptidase 1
AT2G30490,ATC4H,1.37,DOWN,36.96,0.2431,trans-cinnamate 4-monooxygenase
AT2G30520,RPT2,1.40,DOWN,49.90,0.0775,Root phototropism protein 2
AT2G30550,,1.66,UP,6.95,0.4809,phospholipase A1-Igamma2
AT2G30570,PSBW,1.59,DOWN,892.82,0.0009,photosystem II reaction center W protein
AT2G30600,,2.73,UP,10.67,0.0972,BTB/POZ domain-containing protein
AT2G30615,,1.06,DOWN,9.43,1,uncharacterized protein
AT2G30620,,1.05,DOWN,36.25,1,histone H1.2
AT2G30695,,1.33,DOWN,7.93,1,uncharacterized protein
AT2G30740,,2.04,UP,9.21,0.3071,protein kinase-like protein
AT2G30766,,1.88,DOWN,77.51,0.1998,uncharacterized protein
AT2G30860,ATGSTF9,1.31,DOWN,334.05,0.0126,glutathione S-transferase
AT2G30870,ERD13,1.11,UP,216.32,0.5890,glutathione S-transferase ERD13
AT2G30930,,2.06,UP,13.03,0.3297,uncharacterized protein
AT2G30950,FTSH2,1.13,UP,94.06,0.4098,cell division protease ftsH-2
AT2G30970,ASP1,1.44,UP,14.11,0.4169,aspartate aminotransferase
AT2G30980,SKdZeta,1.05,DOWN,13.78,1,Shaggy-related protein kinase zeta
AT2G31040,,2.46,UP,23.33,0.0259,ATP synthase protein I
AT2G31060,,2.17,UP,6.62,0.1628,elongation factor-like protein
AT2G31070,TCP10,3.06,DOWN,8.82,0.0805,transcription factor TCP10
AT2G31090,,1.90,DOWN,48.40,0.3169,uncharacterized protein
AT2G31110,,1.14,DOWN,6.17,1,uncharacterized protein
AT2G31140,,2.77,UP,9.04,0.4552,peptidase-S24/S26 domain-containing protein
AT2G31141,,1.82,UP,164.25,0.0009,uncharacterized protein
AT2G31200,ATADF6,1.30,UP,17.05,0.9234,actin depolymerizing factor 6
AT2G31230,ATERF15,3.97,DOWN,8.61,0.2752,ethylene-responsive transcription factor 15
AT2G31350,GLX2-5,1.05,UP,11.28,1,Hydroxyacylglutathione hydrolase 2
AT2G31360,ADS2,1.52,DOWN,54.80,0.0851,delta-9 acyl-lipid desaturase 2
AT2G31380,STH,1.22,UP,19.03,0.9996,Salt tolerance-like protein
AT2G31390,,1.12,DOWN,38.31,0.9933,fructokinase
AT2G31400,GUN1,1.16,UP,44.01,0.4364,genomes uncoupled 1 protein
AT2G31410,,1.21,DOWN,17.87,1,uncharacterized protein
AT2G31490,,1.05,UP,254.15,1,uncharacterized protein
AT2G31510,ARI7,2.35,UP,10.91,0.1130,putative E3 ubiquitin-protein ligase ARI7
AT2G31570,ATGPX2,2.55,DOWN,35.87,0.0382,glutathione peroxidase
AT2G31585,,4.52,DOWN,6.43,0.5794,other RNA
AT2G31610,,1.62,DOWN,71.52,0.0240,40S ribosomal protein S3-1
AT2G31670,,1.08,DOWN,65.98,1,Stress responsive alpha-beta barrel domain protein
AT2G31710,,2.78,DOWN,7.18,0.5719,Vacuolar ATPase assembly integral membrane protein VMA21-like domain
AT2G31750,UGT74D1,2.45,DOWN,11.79,0.0865,UDP-glucosyl transferase 74D1
AT2G31751,,2.86,DOWN,5.63,0.2676,unknown gene
AT2G31790,,1.48,UP,16.47,0.3839,UDP-glucosyl transferase 74c1-like protein
AT2G31810,,3.27,UP,15.18,0.0203,ACT domain-containing small subunit of acetolactate synthase protein
AT2G31840,,1.80,UP,14.45,0.3803,TRX fold-containing protein
AT2G31960,ATGSL3,2.91,UP,4.81,0.0155,callose synthase
AT2G32060,,3.04,DOWN,104.90,0.0009,40S ribosomal protein S12-2
AT2G32070,,1.43,UP,13.46,0.7885,putative CCR4-associated factor 1-7
AT2G32090,,3.09,DOWN,30.71,0.0628,lactoylglutathione lyase / glyoxalase I-like protein
AT2G32100,ATOFP16,1.01,DOWN,15.25,1,ovate family protein 16
AT2G32150,,1.59,UP,18.13,0.3768,haloacid dehalogenase-like hydrolase domain-containing protein
AT2G32180,PTAC18,1.02,DOWN,10.88,1,plastid transcriptionally active 18
AT2G32220,,2.12,DOWN,13.86,0.5059,60S ribosomal protein L27-1
AT2G32230,PRORP1,2.04,UP,26.37,0.0086,proteinaceous RNase P 1
AT2G32260,ATCCT1,1.32,UP,8.98,0.8320,phosphorylcholine cytidylyltransferase
AT2G32380,,6.64,DOWN,18.21,0.3714,putative transmembrane protein 97
AT2G32480,ARASP,1.30,DOWN,26.84,0.5126,serine protease
AT2G32520,,1.46,DOWN,13.28,0.6417,carboxymethylenebutenolidase
AT2G32560,,1.99,UP,7.40,0.3386,F-box protein
AT2G32580,,2.98,UP,9.29,0.3155,uncharacterized protein
AT2G32650,,4.20,DOWN,9.83,0.4437,RmlC-like cupin-like protein
AT2G32690,GRP23,2.45,DOWN,1012.22,0.0009,glycine-rich protein 23
AT2G32700,LUH,3.43,UP,11.17,0.0051,leunig-like protein
AT2G32720,B5-4,1.74,DOWN,29.91,0.3252,putative cytochrome b5 isoform 2
AT2G32730,,1.49,UP,8.64,0.3151,26S proteasome regulatory subunit N2
AT2G32765,SUM5,2.98,DOWN,8.49,0.4738,small ubiquitin-related modifier 5
AT2G32810,BGAL9,1.34,UP,6.74,0.6448,beta galactosidase 9
AT2G32860,BGLU33,5.13,UP,5.70,0.2005,beta glucosidase 33
AT2G33040,ATP3,1.34,UP,47.82,0.7242,ATP synthase subunit gamma
AT2G33120,ATVAMP722,2.84,DOWN,27.01,0.0319,vesicle-associated membrane protein 722
AT2G33180,,1.26,DOWN,21.83,1,uncharacterized protein
AT2G33220,,1.42,DOWN,53.89,0.3253,NADH dehydrogenase
AT2G33250,,1.54,DOWN,22.93,0.5261,uncharacterized protein
AT2G33255,,3.28,DOWN,10.71,0.1514,Haloacid dehalogenase-like hydrolase
AT2G33310,IAA13,1.23,DOWN,26.49,0.7496,auxin-responsive protein IAA13
AT2G33340,MAC3B,2.05,DOWN,9.28,0.5589,Pre-mRNA-processing factor 19-2
AT2G33370,,1.97,DOWN,71.65,0.0312,60S ribosomal protein L23
AT2G33400,,1.08,DOWN,6.62,1,uncharacterized protein
AT2G33410,,1.47,DOWN,19.64,0.2083,RNA recognition motif-containing protein
AT2G33430,DAL1,1.90,DOWN,57.89,0.0131,protein differentiation and greening-like 1
AT2G33450,,1.75,UP,148.71,0.0116,50S ribosomal protein L28
AT2G33470,ATGLTP1,1.07,UP,19.95,1,glycolipid transfer protein 1
AT2G33730,,2.57,UP,7.44,0.0938,DEAD-box ATP-dependent RNA helicase 21
AT2G33740,CUTA,4.00,DOWN,17.40,0.1006,protein CutA
AT2G33770,ATUBC24,1.34,UP,9.48,0.3957,putative ubiquitin-conjugating enzyme E2 24
AT2G33800,,1.61,DOWN,145.78,0.1968,30S ribosomal protein S5
AT2G33830,,2.98,DOWN,247.40,0.0009,dormancy/auxin associated protein
AT2G33850,,1.32,UP,32.89,0.5248,uncharacterized protein
AT2G33855,,1.48,DOWN,24.24,0.5670,uncharacterized protein
AT2G34040,,3.58,UP,5.55,0.1523,Apoptosis inhibitory protein 5 (API5)
AT2G34160,,5.14,DOWN,9.99,0.1786,Alba DNA/RNA-binding protein
AT2G34250,,1.15,DOWN,26.09,0.7018,protein transport protein SEC61 subunit alpha
AT2G34310,,1.71,UP,10.76,0.3615,uncharacterized protein
AT2G34420,LHCB1.5,2.34,DOWN,1558.45,0.0009,light-harvesting complex II chlorophyll a/b binding protein 1
AT2G34430,LHB1B1,2.55,DOWN,650.67,0.0009,light-harvesting complex II chlorophyll a/b binding protein 1
AT2G34460,,1.15,UP,19.59,1,NAD(P)-binding Rossmann-fold-containing protein
AT2G34470,UREG,2.47,UP,23.02,0.0678,urease accessory protein
AT2G34480,,1.25,DOWN,96.88,0.3076,60S ribosomal protein L18a-2
AT2G34520,RPS14,1.19,UP,20.33,1,small subunit ribosomal protein S14
AT2G34560,,1.21,UP,13.83,0.8860,P-loop containing nucleoside triphosphate hydrolase-like protein
AT2G34585,,5.56,DOWN,228.28,0.0009,uncharacterized protein
AT2G34590,,1.87,DOWN,33.68,0.0160,pyruvate dehydrogenase E1 component subunit beta
AT2G34620,,1.24,DOWN,27.23,0.7977,transcription termination factor-like protein
AT2G34630,GPPS,2.44,UP,6.49,0.2704,geranyl diphosphate synthase 1
AT2G34660,MRP2,2.51,UP,4.35,0.0243,ABC transporter C family member 2
AT2G34690,ACD11,1.00,UP,17.26,1,glycolipid transfer protein-like protein
AT2G34720,NF-YA4,5.43,UP,7.80,0.3429,nuclear transcription factor Y subunit A-4
AT2G34750,,1.04,UP,7.48,1,RNA polymerase I specific transcription initiation factor RRN3 protein
AT2G34770,FAH1,1.17,DOWN,24.52,0.8815,fatty acid hydroxylase 1
AT2G34860,EDA3,1.07,DOWN,56.68,1,embryo sac development arrest 3 protein
AT2G35010,ATO1,2.05,DOWN,7.87,0.4171,thioredoxin O1
AT2G35040,,2.10,DOWN,10.54,0.1662,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP
AT2G35050,,1.50,UP,8.62,0.1717,octicosapeptide/Phox/Be.1 domain-containing protein kinase
AT2G35060,KUP11,2.42,DOWN,7.70,0.1143,Potassium transporter 11
AT2G35120,,4.00,DOWN,27.66,0.1145,glycine cleavage system H protein
AT2G35240,,4.33,DOWN,16.67,0.2718,putative plastid developmental protein DAG
AT2G35260,,1.80,UP,56.88,0.0051,uncharacterized protein
AT2G35330,,4.96,UP,7.43,0.0360,RING-finger domain-containing protein
AT2G35370,GDCH,1.05,UP,176.37,1,glycine cleavage system H protein 1
AT2G35387,,2.15,DOWN,1541.38,0.8803,snoRNA
AT2G35390,,1.47,UP,9.85,0.4713,ribose-phosphate pyrophosphokinase 1
AT2G35410,,1.04,DOWN,22.47,1,RNA-binding (RRM/RBD/RNP motifs) family protein
AT2G35490,,1.06,DOWN,27.08,1,putative plastid-lipid-associated protein 3
AT2G35500,SKL2,1.92,DOWN,14.48,0.1574,shikimate kinase like 2
AT2G35520,DAD2,3.44,DOWN,11.79,0.3662,Defender against cell death 2
AT2G35610,XEG113,1.05,UP,7.28,1,xyloglucanase 113
AT2G35635,UBQ7,2.29,DOWN,62.71,0.0360,NEDD8-like protein RUB2
AT2G35680,,1.14,UP,19.80,0.9564,phosphotyrosine protein phosphatase-like protein
AT2G35736,,6.13,UP,55.15,0.1638,uncharacterized protein
AT2G35743,,6.62,DOWN,470.33,0.3717,Pseudogene of AT2G35750unknown protein
AT2G35744,,1.36,UP,1697.90,0.8124,snoRNA
AT2G35750,,1.61,DOWN,1614.84,0.0009,uncharacterized protein
AT2G35760,,1.05,DOWN,10.99,1,uncharacterized protein
AT2G35780,scpl26,1.60,DOWN,21.66,0.2409,serine carboxypeptidase-like 26
AT2G35790,,2.51,DOWN,10.05,0.2881,uncharacterized protein
AT2G35795,,1.43,UP,13.58,0.7920,chaperone DnaJ-domain containing protein
AT2G35800,,1.22,UP,7.33,0.8044,mitochondrial substrate carrier family protein
AT2G35840,,1.77,UP,16.14,0.1691,putative sucrose-phosphatase 2
AT2G35860,FLA16,1.42,UP,13.13,0.5420,fasciclin-like arabinogalactan protein 16
AT2G35880,,3.58,UP,7.43,0.0749,TPX2 (targeting protein for Xklp2)-like protein
AT2G35900,,4.11,DOWN,6.26,0.1634,uncharacterized protein
AT2G35945,,1.45,UP,16.24,0.7479,other RNA
AT2G35960,NHL12,2.25,DOWN,42.66,0.0075,NDR1/HIN1-like 12 protein
AT2G36000,,1.15,DOWN,26.19,0.9263,transcription termination factor domain-containing protein
AT2G36026,,1.46,DOWN,5.44,1,Ovate family protein
AT2G36060,MMZ3,2.86,DOWN,51.74,0.0101,ubiquitin-conjugating enzyme E2 variant 1C
AT2G36100,,1.89,DOWN,23.73,0.2561,uncharacterized protein
AT2G36120,DOT1,1.19,DOWN,831.82,0.0009,glycine-rich protein
AT2G36160,,3.57,DOWN,135.66,0.0009,40S ribosomal protein S14-1
AT2G36170,,1.60,DOWN,104.52,0.0983,60S ribosomal protein L40-2
AT2G36220,,4.18,DOWN,16.52,0.0322,uncharacterized protein
AT2G36250,FTSZ2-1,1.55,UP,13.26,0.2640,Tubulin/FtsZ-like protein
AT2G36290,,4.15,DOWN,14.22,0.0757,alpha/beta-hydrolase domain-containing protein
AT2G36300,,2.62,DOWN,7.12,0.4444,Integral membrane Yip1-like protein
AT2G36310,URH1,1.16,UP,16.00,0.9895,Uridine nucleosidase 1
AT2G36320,,2.44,DOWN,30.37,0.0091,zinc finger A20 and AN1 domain-containing stress-associated protein 4
AT2G36380,PDR6,2.62,UP,5.49,0.0315,ABC transporter G family member 34
AT2G36400,AtGRF3,3.08,DOWN,6.46,0.1788,growth-regulating factor 3
AT2G36410,,2.14,DOWN,18.64,0.1426,uncharacterized protein
AT2G36420,,2.86,UP,8.76,0.2776,uncharacterized protein
AT2G36460,,1.00,DOWN,43.78,1,fructose-bisphosphate aldolase; class I
AT2G36530,LOS2,1.39,DOWN,106.89,0.0057,bifunctional enolase 2/transcriptional activator
AT2G36570,,2.79,DOWN,10.94,0.0577,leucine-rich repeat protein kinase-like protein
AT2G36580,,1.72,DOWN,9.25,0.3662,pyruvate kinase-like protein
AT2G36680,,1.01,DOWN,8.53,1,vacuolar protein-sorting-associated protein 37-2
AT2G36800,DOGT1,1.32,DOWN,7.31,0.8764,cytokinin-O-glucosyltransferase 3
AT2G36830,GAMMA-TIP,1.41,DOWN,165.85,0.0038,aquaporin TIP1-1
AT2G36835,,1.08,UP,33.19,1,uncharacterized protein
AT2G36854,,3.17,UP,45.40,0.8674,uncharacterized protein
AT2G36870,XTH32,7.69,DOWN,6.32,0.5453,xyloglucan:xyloglucosyl transferase
AT2G36880,MAT3,2.03,DOWN,103.65,0.0009,S-adenosylmethionine synthase 3
AT2G36885,,10.39,UP,4.68,0.5354,uncharacterized protein
AT2G36895,,1.16,DOWN,49.68,0.8947,uncharacterized protein
AT2G36900,MEMB11,1.19,DOWN,17.83,1,golgi SNAP receptor complex member 2
AT2G36910,PGP1,3.10,UP,8.30,0.0032,ABC transporter B family member 1
AT2G36930,,1.37,UP,20.71,0.7589,C2H2-type zinc finger-containing protein
AT2G36950,,2.30,UP,10.47,0.1828,heavy-metal-associated domain-containing protein
AT2G36990,SIGF,1.84,UP,10.98,0.1704,RNApolymerase sigma-subunit F
AT2G37040,PAL1,1.26,DOWN,27.09,0.3915,phenylalanine ammonia-lyase 1
AT2G37060,NF-YB8,1.20,UP,7.32,1,nuclear transcription factor Y subunit B-8
AT2G37080,RIP3,5.48,UP,6.70,0.1085,interactor of constitutive active ROPs 2
AT2G37110,,1.08,DOWN,34.74,1,PLAC8 domain-containing protein
AT2G37120,,3.38,DOWN,27.42,0.3387,DNA-binding protein S1FA2
